iso,period,index_buy,index_sell,index_2021_buy,index_2021_sell,index_direct_buy,index_direct_sell,tot_net,tot_net_direct,tot_net_2021,buy_stages,sell_stages
CZE,202106,115.98768613774607,160.84068853130705,96.7590271171578,101.7910797966187,116.41853184323345,157.63366574386865,138.6704863999907,135.4025542566836,105.20060280615265,chips,downstream+upstream
CZE,202107,115.55358750724459,162.27768764911872,96.39689418254325,102.70051193847605,115.62366298937246,159.34452168853252,140.4350060866304,137.8130717958474,106.53923324956494,chips,downstream+upstream
CZE,202108,114.46717845078591,162.7762460728985,95.49059208397934,103.01603409124503,114.9973788932269,159.56434486531631,142.20342309117248,138.7547667616573,107.8808203436915,chips,downstream+upstream
CZE,202109,112.45891775990002,164.11945574872118,93.81526466674833,103.86610980618855,114.39883270509212,160.82929544215196,145.9372533702632,140.58648295542716,110.71344324949989,chips,downstream+upstream
CZE,202110,113.01570216131208,163.23322218871587,94.2797442920308,103.30524009188498,114.69511208992765,159.86522298594593,144.4341087716521,139.3827688669089,109.57310169605232,chips,downstream+upstream
CZE,202111,107.65326095107837,161.8157832922304,89.80629877593552,102.40818700701897,109.51806427936465,157.7843945344604,150.31201271809638,144.07156990282022,114.03229885080205,chips,downstream+upstream
CZE,202112,107.44187907495291,159.2479933021762,89.62996018892542,100.78311241821125,109.40423078609378,155.2765946232248,148.21780359135627,141.92924122543332,112.44355370210673,chips,downstream+upstream
CZE,202201,107.95377184157147,159.77280009689767,90.05699039993853,101.11524635028466,110.07599117764168,156.13287043469387,148.00112804893345,141.84098527236984,112.27917555454273,chips,downstream+upstream
CZE,202202,109.19109254868833,159.1696200517591,91.08918572893543,100.7335124204745,111.64719362530138,155.73463981876833,145.77161592259492,139.4881812626913,110.58778450412191,chips,downstream+upstream
CZE,202203,108.03741492798605,158.11009818744546,90.12676697653941,100.06297391668278,110.5070383328788,154.94530227561467,146.34753922318126,140.21306209372392,111.02470139945198,chips,downstream+upstream
CZE,202204,110.50172318365522,156.0866602792259,92.18253752663173,98.7824028655399,113.35650804521649,152.7900301787008,141.25269342615405,134.7871708589989,107.15956136160979,chips,downstream+upstream
CZE,202205,110.33481798172447,153.88866937606392,92.04330218624884,97.39136264145846,113.03494925288442,150.70738440739711,139.47425861667128,133.32813028493607,105.81037438703346,chips,downstream+upstream
CZE,202206,122.59040756137595,150.9376132296932,102.26713683595436,95.5237307976601,125.3603979954588,148.32944077248496,123.12351042158414,118.32240735057192,93.40608699243111,chips,downstream+upstream
CZE,202207,123.29593263356911,147.8843688296933,102.85569862096229,93.59142717973276,126.30959416606353,145.9333198160836,119.94261746589817,115.5362114648394,90.992942962383,chips,downstream+upstream
CZE,202208,122.17385300528696,146.68500400168497,101.91963948575699,92.83238640449204,123.93466181546735,144.9852112039761,120.06251779203306,116.98519936242855,91.08390382156438,chips,downstream+upstream
CZE,202209,125.7365053590614,144.28412255403651,104.89166856217533,91.3129430518715,127.08800894893812,143.35923111541408,114.75117917585615,112.80311360689699,87.05452425684797,chips,downstream+upstream
CZE,202210,126.47374856972972,142.6834080073944,105.5066901923877,90.29990049630484,128.36764155444862,142.28050798732627,112.81661974992991,110.83829714747571,85.5868953254492,chips,downstream+upstream
CZE,202211,137.50917193418138,141.1624966586383,114.71264010074445,89.33736290784705,138.7735466321903,141.51607299983732,102.65678621510831,101.97626019814562,77.87926668707826,chips,downstream+upstream
CZE,202212,137.64742138531082,141.11560113274714,114.8279702951487,89.307684184996,138.41782026180746,141.8964548109668,102.51961112858626,102.51314067984869,77.77520055039162,chips,downstream+upstream
