iso,flow,stage,value_usd,coverage
HKG,X,5_chips,1936527239338.602,0.7862072291944946
HKG,X,6_parts,284198303825.604,1.0
HKG,X,7_baseboards,98454166626.038,0.9907539396633698
HKG,X,8_servers,45678210912.493,0.9806804763447371
HUN,M,1_raw_materials,442997333.54899997,0.9997955297512193
HUN,M,2_wafers,481126851.38899994,0.9999679179556172
HUN,M,3_litho_optics,1031649084.874,0.9999542470286729
HUN,M,4_equipment,6709584808.936,0.9999323830336869
HUN,M,5_chips,40515491148.139,0.9986622864398008
HUN,M,6_parts,15665468834.583,0.9999997222552963
HUN,M,7_baseboards,5797859282.141001,0.9987853525123156
HUN,M,8_servers,3031946745.288,0.9998126318759117
HUN,X,1_raw_materials,86295972.89299999,0.998023154461547
HUN,X,2_wafers,451433933.94299996,0.999951172565147
HUN,X,3_litho_optics,243659320.926,0.9994094780841827
HUN,X,4_equipment,7865944804.297999,0.9999901473773428
HUN,X,5_chips,10205303893.579,0.9985616037687777
HUN,X,6_parts,2676879028.718,0.9999987904335741
HUN,X,7_baseboards,5186288746.191,0.9999999988097461
HUN,X,8_servers,30036767820.619003,0.9999347280334319
IDN,M,1_raw_materials,1235551650.3200002,0.9984572597135001
IDN,M,2_wafers,3542849320.9020004,0.9999999997177413
IDN,M,3_litho_optics,362026167.238,0.999970686842664
IDN,M,4_equipment,11242882640.743,0.999987863709481
IDN,M,5_chips,35368173444.845,0.9993314928572188
IDN,M,6_parts,3375700213.9350004,0.9999999857807279
IDN,M,7_baseboards,537625074.944,0.9999998846779979
IDN,M,8_servers,7815821377.09,0.9999999790169206
IDN,X,1_raw_materials,24576497.237999998,0.9917699661574532
IDN,X,2_wafers,418278558.015,0.9999969600999724
IDN,X,3_litho_optics,322756989.935,0.9978390598259688
IDN,X,4_equipment,648435115.2509999,0.9998916885508694
IDN,X,5_chips,5861877345.07,0.9692298994437855
IDN,X,6_parts,2444305858.2139997,0.9999996713054561
IDN,X,7_baseboards,240962711.24899998,0.9999999948664255
IDN,X,8_servers,151645154.232,0.9991326874725006
IND,M,1_raw_materials,3059709941.9630003,0.9970105032959
IND,M,2_wafers,2383075808.287,0.9933714837362415
IND,M,3_litho_optics,1219255463.428,0.8612060969862587
IND,M,4_equipment,19922749320.475,0.8299114288910198
IND,M,5_chips,153395189666.726,0.9853345760576938
IND,M,6_parts,18872456960.585003,0.014160902608343575
IND,M,7_baseboards,1154035994.508,0.992878557425322
IND,M,8_servers,22869610909.394997,0.9924453841335786
IND,X,1_raw_materials,295240464.987,0.9964340470672055
IND,X,2_wafers,88206497.638,0.9915989930805192
IND,X,3_litho_optics,219618108.68199998,0.8142296865962227
IND,X,4_equipment,8068516186.679,0.8300225526382077
IND,X,5_chips,5178557137.723,0.9461907768617334
IND,X,6_parts,1637855051.8279998,0.012753030320166283
IND,X,7_baseboards,89492387.07399999,0.8055847662146586
IND,X,8_servers,1225534239.531,0.993948261484854
IRL,M,1_raw_materials,441089601.08,0.9914254684904396
IRL,M,2_wafers,1553804733.5970001,1.0
IRL,M,3_litho_optics,1195860227.006,0.9999999901368071
IRL,M,4_equipment,18313262928.318,0.9996048611817934
IRL,M,5_chips,35868481945.387,0.9999994714211762
IRL,M,6_parts,23364284220.954,1.0
IRL,M,7_baseboards,2977179977.2720003,1.0
IRL,M,8_servers,16238717295.103,0.9999999998509734
IRL,X,1_raw_materials,140459563.092,0.9993329143140034
IRL,X,2_wafers,107219554.37799999,0.9999999593171226
IRL,X,3_litho_optics,167466426.356,0.9999992531577658
IRL,X,4_equipment,4232001206.485,0.9994403139518556
IRL,X,5_chips,78924305977.00099,0.9999997842754549
IRL,X,6_parts,12330568705.312,1.0
IRL,X,7_baseboards,844568489.7390001,1.0
IRL,X,8_servers,12163946624.880001,0.9999971240067816
ISR,M,1_raw_materials,425040000.0,0.09851778656126482
ISR,M,2_wafers,2580223000.0,0.02311583146107914
ISR,M,3_litho_optics,2979261000.0,0.20538918879547646
ISR,M,4_equipment,13114737000.0,0.05507308305153203
ISR,M,5_chips,16894676000.0,0.13400446389146498
ISR,M,6_parts,2186254000.0,0.0
ISR,M,7_baseboards,1016365000.0,0.051084010173510504
ISR,M,8_servers,7429164000.0,0.08133081999535884
ISR,X,1_raw_materials,20533000.0,0.30580041883796816
ISR,X,2_wafers,149691000.0,0.6499923175073986
ISR,X,3_litho_optics,8434274000.0,0.15323938966175393
ISR,X,4_equipment,6888093000.0,0.3419561843894965
ISR,X,5_chips,39083473000.0,0.04130372446686097
ISR,X,6_parts,1603480000.0,0.0
ISR,X,7_baseboards,818211000.0,0.044511745747735
ISR,X,8_servers,1858692000.0,0.07435874259963458
ITA,M,1_raw_materials,1985487627.166,0.9979332140448253
ITA,M,2_wafers,4815362806.827999,0.9999696612997067
ITA,M,3_litho_optics,1716022509.4310002,0.9997935569160351
ITA,M,4_equipment,23035459066.2,0.9998895760824349
ITA,M,5_chips,24869210955.926003,0.999127017372667
ITA,M,6_parts,5579131251.153001,0.9980131420563533
ITA,M,7_baseboards,2122166075.727,1.0
ITA,M,8_servers,8536394294.938,0.9999992533482195
ITA,X,1_raw_materials,681794606.0680001,0.998719607290479
ITA,X,2_wafers,2426094938.854,0.9999316137805069
ITA,X,3_litho_optics,375415570.978,0.999923344314342
ITA,X,4_equipment,41270682423.381996,0.9999698954237719
ITA,X,5_chips,22556324949.777,0.9999410469543261
ITA,X,6_parts,3879802315.5320005,0.9999993116538466
ITA,X,7_baseboards,577031450.103,1.0
ITA,X,8_servers,1792535901.8590004,0.9985292781878087
JPN,M,1_raw_materials,12677954895.771,0.9999033662145771
JPN,M,2_wafers,11658369381.009,0.9991170664222762
JPN,M,3_litho_optics,21264918377.346,1.0
JPN,M,4_equipment,76423655054.819,0.9996003118346659
JPN,M,5_chips,248938666488.53598,0.9999847725879732
JPN,M,6_parts,23133765268.462,1.0
JPN,M,7_baseboards,6380321102.953,1.0
JPN,M,8_servers,46652902730.358,1.0
JPN,X,1_raw_materials,5936105837.356,0.9988230924487504
