iso,period,exports,imports,net,exports_sa,exports_sa3m,imports_sa,imports_sa3m,net_sa,net_sa3m,exports_12m,imports_12m,net_12m
BEL,202204,419827827.64173377,603664285.677201,-183836458.03546727,434188527.9702444,443314025.0475535,646545581.9749547,617207573.5239019,-212357054.00471032,-173893548.47634846,5149040571.0641985,7425354772.970794,-2276314201.9065957
BEL,202205,432834197.3181614,639943840.4474565,-207109643.12929505,450372182.45763505,439515933.0656116,629704146.1899737,617256896.3290627,-179331963.73233867,-177740963.2634511,5208999600.082189,7481830246.614159,-2272830646.5319695
BEL,202206,457732690.3175373,754433007.0162457,-296700316.6987084,424023851.13204193,436194853.8533072,677485085.0791293,651244937.7480192,-253461233.9470874,-215050083.89471203,5209078456.273003,7610837234.1504755,-2401758777.877473
BEL,202207,396539383.1481771,588874493.8805215,-192335110.73234445,425752686.81761855,433382906.8024319,664369770.4785726,657186333.915892,-238617083.66095406,-223803427.11346012,5213069086.226841,7665494582.240959,-2452425496.014119
BEL,202208,416514708.45984215,699285389.8334602,-282770681.37361807,437535397.08812106,429103978.3459272,677006256.0152904,672953703.8576641,-239470858.92716932,-243849725.51173693,5220351931.0083275,7726058851.281157,-2505706920.272829
BEL,202209,460492338.4835943,704657233.4136231,-244164894.9300288,446179266.49500775,436489116.8002491,670854181.9301637,670743402.808009,-224674915.435156,-234254286.00775993,5167489815.392606,7813528414.721299,-2646038599.328694
BEL,202210,423944019.38902396,642390927.5587811,-218446908.1697572,441139201.54783404,441617955.04365426,667417132.915758,671759190.2870708,-226277931.36792397,-230141235.2434165,5202791269.728335,7816588370.731075,-2613797101.0027394
BEL,202211,486945669.06973904,684329560.1940371,-197383891.12429804,476010214.7839302,454442894.27559066,748174697.4228575,695482004.0895932,-272164482.63892734,-241039109.8140025,5277060331.976597,7801189749.414401,-2524129417.4378047
BEL,202212,475744338.8798873,778957519.4398292,-303213180.55994195,465514645.65655845,460888020.66277426,664233779.3519733,693275203.2301964,-198719133.69541484,-232387182.5674221,5319535624.308833,7926938405.163495,-2607402780.854661
BEL,202301,459729207.24472207,768164953.3105005,-308435746.06577843,460401440.95114607,467308767.1305449,704091547.6830543,705500008.1526284,-243690106.73190826,-238191241.02208352,5365229844.782096,8024168109.751184,-2658938264.9690886
BEL,202302,435686006.8064158,612781006.7441916,-177094999.93777585,445622556.02581555,457179547.5445067,757467533.9092852,708597620.314771,-311844977.88346964,-251418072.77026433,5353160856.963596,8101125541.973036,-2747964685.00944
BEL,202303,565372342.7357249,836043659.9494438,-270671317.2137189,497214871.7321565,467746289.569706,715677855.7350482,725745645.7757959,-218462984.00289166,-257999356.2060899,5431362729.494559,8313525877.465292,-2882163147.970732
BEL,202304,426976520.2234102,976365855.7903385,-549389335.5669284,444180968.05035496,462339465.2694423,1058232605.7363349,843792665.1268896,-614051637.68598,-381453199.85744727,5438511422.076235,8686227447.578428,-3247716025.5021935
BEL,202305,466612790.6016707,723080687.6051819,-256467897.00351125,485855796.53968626,475750545.44073266,702939898.325594,825616786.5989923,-217084101.7859077,-349866241.1582597,5472290015.359745,8769364294.736155,-3297074279.37641
BEL,202306,564879836.290913,776790893.9212705,-211911057.6303575,536277444.2311616,488771402.9404009,689178707.0108327,816783737.0242538,-152901262.77967107,-328012334.08385295,5579437161.33312,8791722181.641178,-3212285020.3080587
BEL,202307,449485398.7143662,730324633.3094039,-280839234.5950377,481181358.31105,501104866.36063266,842957632.1455718,745025412.4939995,-361776273.83452183,-243920546.13336682,5632383176.899309,8933172321.07006,-3300789144.170752
BEL,202308,519456158.27141225,814297775.613311,-294841617.3418988,566359359.4535775,527939387.3319297,893002004.9032266,808379448.0198771,-326642645.4496491,-280440060.6879474,5735324626.710879,9048184706.849913,-3312860080.139033
BEL,202309,505729494.1198706,767313989.1988683,-261584495.07899767,476845194.76088625,508128637.5085046,692428542.5666562,809462726.5384849,-215583347.80576998,-301334089.0299803,5780561782.347156,9110841462.635159,-3330279680.288002
BEL,202310,506662308.93234557,654634199.5795077,-147971890.64716214,513398426.6909565,518867660.30180675,702093551.0397575,762508032.8365469,-188695124.34880102,-243640372.53474015,5863280071.890478,9123084734.655884,-3259804662.7654066
BEL,202311,507746219.04796004,602017819.2290491,-94271600.18108904,499753404.06646717,496665675.17277,692214561.6381217,695578885.0815119,-192461157.57165456,-198913209.90874183,5884080621.868698,9040772993.690897,-3156692371.8221974
BEL,202312,504154006.011628,907693532.3706138,-403539526.35898584,494687634.0678349,502613154.9417529,648987067.5816823,681098393.4198538,-154299433.5138474,-178485238.4781009,5912490289.00044,9169509006.621681,-3257018717.6212416
BEL,202401,509741700.2134806,506968901.3601351,2772798.8533455133,507051566.4298054,500497534.8547025,531379573.7471075,624193734.3223039,-24328007.317302108,-123696199.46760142,5962502781.969198,8908312954.671316,-2945810172.7021174
BEL,202402,499845395.2989921,492369232.4906619,7476162.808330178,505110001.4493485,502283067.31566304,607178354.7285254,595848332.0191051,-102068353.27917689,-93565264.70344204,6026662170.461775,8787901180.417786,-2761239009.956012
BEL,202403,572538735.001443,581837267.9496304,-9298532.948187351,510214655.253891,507458741.0443483,491567821.05811054,543375249.8445812,18646834.195780456,-35916508.80023295,6033828562.727492,8533694788.417972,-2499866225.69048
BEL,202404,491689251.40656656,616718423.4099673,-125029172.00340074,507570768.6844055,507631808.46254843,639658760.390956,579468312.0591973,-132087991.70655054,-71836503.59664887,6098541293.910649,8174047356.037601,-2075506062.1269524
BEL,202405,474174631.38660043,713853324.8396121,-239678693.4530117,496029119.3418106,504604847.76003575,680505361.8013921,603910647.750153,-184476242.4595815,-99305799.99011719,6106103134.695579,8164819993.272031,-2058716858.5764527
BEL,202406,528818575.09446764,772634345.3338248,-243815770.2393571,515345996.07451504,506315294.7002438,675390215.3855492,665184779.1926326,-160044219.31103414,-158869484.49238878,6070041873.499133,8160663444.684586,-2090621571.1854525
BEL,202407,513765013.9207315,458323394.50651836,55441619.41421312,548411888.454139,519929001.29015493,538277417.6090702,631390998.2653371,10134470.845068812,-111461996.97518218,6134321488.705499,7888662205.8817005,-1754340717.1762016
BEL,202408,445389902.9787967,475264907.0777037,-29875004.098906994,504647275.0178681,522801719.8488408,575506637.7510211,596391423.5818802,-70859362.73315305,-73589703.73303944,6060255233.412883,7549629337.346092,-1489374103.9332097
BEL,202409,525236727.15979064,651790603.0678037,-126553875.9080131,476840078.41376805,509966413.9619251,558075776.4323151,557286610.5974687,-81235698.01854706,-47320196.635543644,6079762466.452803,7434105951.215028,-1354343484.7622252
BEL,202410,495600435.6908771,599823487.7610884,-104223052.07021129,489861461.1160624,490449604.8492329,663639437.4076238,599073950.53032,-173777976.29156137,-108624345.68108714,6068700593.211334,7379295239.396608,-1310594646.1852744
BEL,202411,483092202.6918599,839944088.0606123,-356851885.3687524,480088249.44092876,482263262.99025315,1035230622.0857095,752315278.6418828,-555142372.6447806,-270052015.6516296,6044046576.855234,7617221508.228172,-1573174931.3729377
BEL,202412,481540204.12034667,1246309392.213658,-764769188.0933114,473195067.87394094,481048259.4769774,751625885.9580742,816831981.8171358,-278430818.08413327,-335783722.3401584,6021432774.963953,7955837368.071217,-1934404593.1072633
BEL,202501,492059415.91211945,761293901.2905998,-269234485.3784804,486313094.9293512,479865470.74807376,865105497.1975312,883987335.0804383,-378792402.26818,-404121864.3323645,6003750490.662591,8210162368.00168,-2206411877.3390894
BEL,202502,382940910.84537333,540266040.568289,-157325129.7229157,381989241.3083674,447165801.3705532,669381097.2469267,762037493.4675107,-287391855.9385593,-314871692.0969575,5886846006.208973,8258059176.0793085,-2371213169.870335
