period,hhi_exp,hhi_imp,hhi_F,hhi_flat,hhi_bilat,mu_a,mu_b,aligncov,frag_exp,frag_imp,effrank_exp,effrank_imp,crossbloc_cnus,within_cn,within_us,clip_R,clip_C,clip_F,a_1,b_1,hhi_row_1,w_1,a_2,b_2,hhi_row_2,w_2,a_3,b_3,hhi_row_3,w_3,a_4,b_4,hhi_row_4,w_4
2018-10-01,0.4487382607877377,0.19554925742055754,0.10866916435780291,0.010371377919163545,0.013505609051903454,0.4394862966033154,0.20554612989798393,0.005105227004273072,0.9267707246799093,0.8580056883563689,3.4595160189354375,3.4402442209523763,0.08355771996205023,0.007246500942028777,0.034943459525674306,0.0158655105506263,0.04029978480272999,0.0,0.457958420536741,0.2688083317249932,0.44790947294893985,0.2678143124217149,0.617046503562355,0.20559384926389945,0.3843779490287054,0.30866024037280176,0.6308633590177897,0.14162820703977097,0.4163286909583872,0.12828915040744526,0.1852746271541321,0.12717621518909433,0.37940883074958576,0.2952362967980382
2018-11-01,0.4191190625166689,0.19577748883886348,0.12136512398945334,0.010280004745738737,0.013169563544464228,0.38064341017011644,0.20828889313962357,0.005419326112217182,0.9097715340283359,0.8618308886586106,3.408830154052705,3.4267825211891285,0.0961009091129395,0.007418609596879341,0.039068923039542326,0.015232779076555257,0.038742267362843544,0.0,0.4167385391118251,0.27135744940685835,0.5044111440134357,0.32285633775092987,0.6732017845598003,0.21771502121127373,0.3753770606696323,0.2265241372970458,0.6271367205580324,0.13356420827090873,0.3873017676149734,0.10644809220861541,0.18978455744303133,0.12805710592988737,0.3810495235108063,0.344171432743409
2018-12-01,0.3978626273008914,0.20193864464959577,0.11782501358924063,0.01032430379244157,0.013291201143001485,0.3726355148050553,0.22866218543748332,0.0024163895658436407,0.8759919486282449,0.8645756438043893,3.1906405580126025,3.410264421355798,0.09704473556337384,0.009664326787791791,0.07358117736241372,0.053785137252314576,0.03750158374057115,0.0,0.32945933593946497,0.28640331870798025,0.4828620580212147,0.3655401575706842,0.6977666646487762,0.22354986717458747,0.3580222449505177,0.2362101718704498,0.40203083087526836,0.14159320338285888,0.3559738465374218,0.18777038291948975,0.17637337765511202,0.12041221226035341,0.4690224242928876,0.21047928763937634
2019-01-01,0.37154796440595744,0.1774920989812613,0.14632047391763953,0.007991928557829625,0.011882064812544575,0.34999188409275994,0.1449673579953839,0.0038819470111396623,0.9002852417280154,0.8126676017236094,3.0533371285364908,2.661988619010547,0.06612289322122546,0.0040233338984270875,0.027359977840873947,0.24953481658234886,0.10985775185212691,0.044224999998001446,0.32757279597763145,0.4839078956734024,0.3900550820568264,0.4091747154393004,0.5120430067467692,0.19175825394778623,0.29564815530905475,0.39036542262570634,0.19030825825652894,0.1742152402601617,1.0,0.0015479131093124234,0.18769608194763313,0.08481255600156987,0.9088903879632184,0.1989119488256809
2019-02-01,0.3637531879965879,0.1804038356151624,0.15069327170423524,0.007532404736148017,0.011088186165150126,0.33469567500793396,0.13642492522761188,0.004324177848910288,0.8925049021356862,0.8209235138445345,2.863311083982169,2.5298264641951875,0.06287908214740949,0.004921202159256505,0.030809704958750544,0.25658473025395795,0.0968348709679329,0.04499754833002132,0.3483806750998221,0.5695919038944468,0.38721180503250285,0.3767756130429702,0.5150915728070867,0.20398399650804003,0.323181641515847,0.3681015837674001,0.16758487479964293,0.17804317403166425,1.0,0.001325761921627551,0.1681014245445725,0.08271627352751015,0.806239616925277,0.2537970412680022
2019-03-01,0.3526451377904505,0.19466223608651934,0.1411539636859283,0.0074395175836020075,0.010689761599386985,0.32724707733879593,0.15056086549368178,0.003434382123293042,0.8986965711107082,0.8194196668101004,2.8512163756839337,2.419237519013416,0.07643683333502929,0.007761930945147932,0.029076341903732865,0.2540908954296558,0.09071252941907146,0.049087704052315384,0.3401550422851168,0.6260513637024322,0.33808438160377086,0.4518212605233989,0.5174103041896008,0.20684892218391346,0.32302273772020806,0.3101218453286301,0.1733758990410373,0.17088476849421735,0.0,0.0,0.16170764397415047,0.08059771720516001,0.7247028529375997,0.23805689414797118
2019-04-01,0.3625610150730345,0.20428373531543637,0.136991854142907,0.0077090136379238065,0.011138323023850141,0.3474895063378452,0.1526029025430649,0.003245611225672726,0.900430136664119,0.8275714659296561,2.829986161463646,2.381722318478171,0.06852239906454352,0.004859019363993,0.03300525930351971,0.25598193870824015,0.07868888136913438,0.058995488514005476,0.3472727206265447,0.6754765999228802,0.37685765534996807,0.40356005156865726,0.5130099862517649,0.21106714082204314,0.30991258353158174,0.3610282848789586,0.17745399084377972,0.17956747052851743,0.0,0.0,0.15804018375693882,0.08160183330136073,0.6355640027947189,0.23541166355238408
2019-05-01,0.3479177893407005,0.2331685489461644,0.12872197239149988,0.008606065741700773,0.011799740761031255,0.3305696633351612,0.19442814654040308,0.002585736398774227,0.8947492771431453,0.8519401788091205,2.8107421115942848,2.373342828694598,0.08403340251046293,0.006054687856312578,0.03873112356458759,0.2556883758806624,0.07574291291831761,0.05339694642028929,0.3483718307046339,0.6827227385180106,0.3346688169512281,0.3993890984624194,0.506381954533021,0.21428784636570117,0.3221557549735444,0.3295242876868888,0.170511721915362,0.17695112827109136,0.0,0.0,0.1546248429071187,0.08173086994011926,0.5491608894445213,0.2710866138506917
2019-06-01,0.3481365824243952,0.2035241859331674,0.1396967686105889,0.007337034327962564,0.010479471056193925,0.3181518813371853,0.148347227413358,0.005324196135319266,0.8885227104465826,0.8388662425166837,2.8167038353575475,2.3939281752889148,0.06522175757024282,0.004983260764017634,0.034110441705925504,0.25498847116698803,0.07254780731639274,0.04983380952912386,0.35213957762352505,0.666172651718855,0.3564541949389108,0.3643881796462193,0.5029929809569371,0.22327404922153607,0.31617646689426343,0.35607377214370245,0.18014348947648265,0.16724956377134018,1.0,0.00012546236650135052,0.14564796109761322,0.08139276204666257,0.6696391612213737,0.27941258584357687
2019-07-01,0.3485268288789544,0.211986548374675,0.1357559045585533,0.009030315465515316,0.012203050019262833,0.3381210628005342,0.18425553987030036,0.004218088631115412,0.8887886308727919,0.8428823868080029,2.820173095750696,2.435014268837951,0.08944126996958685,0.0047588735987154065,0.029258184899958795,0.255151453471036,0.07563064741564549,0.043549238573741496,0.34614796212624466,0.6241050986839827,0.3651426499646431,0.4153379074297172,0.49661306466692273,0.22634991066463156,0.3284833599706955,0.34454089853951736,0.18392777097907087,0.1555589322810326,0.0,0.0,0.140158169866763,0.08230276675408647,0.5857453727266673,0.24012119403076537
